,PRBodySize,CommitSize,No_of_Files_Changed,socialDistance,No_of_Comments,timeSpentOnPR,repositoryAge,No_of_collaborators,No_of_Stars,No_of_Watchers,No_of_OpenIssues,No_of_followers_Submitter,submitterStatus,pullrequestDecision
17932,238,4,2,0,2,16,851,30,67,67,73,3,1,1
17933,71,12,3,0,2,40,169,18,66,66,17,11,1,0
17934,349,187,21,0,7,1,135,30,165,165,8,30,1,1
17935,106,72,2,0,0,2,423,23,38,38,35,30,1,1
17936,53,42,1,0,0,0,548,19,586,586,78,0,1,1
17937,244,31,3,0,1,5,52,12,6,6,16,0,0,1
17938,185,2,1,0,0,0,646,30,298,298,32,28,1,1
17939,0,58,4,0,0,0,1308,30,398,398,6,30,1,1
17940,288,2,1,0,0,0,646,30,298,298,31,28,1,1
17941,108,19,1,0,2,11,1030,30,6551,6551,65,30,1,1
17942,358,190,2,0,9,33,1036,30,27,27,22,30,1,1
17943,0,1,1,0,0,0,1453,30,385,385,14,1,1,1
17944,61,45,4,0,15,704,995,30,776,776,41,30,1,1
17945,145,20,1,0,2,0,1557,30,1625,1625,685,6,1,1
17946,91,2,1,0,1,0,260,30,103,103,201,16,1,1
17947,11,80,2,0,2,0,94,29,14,14,30,30,1,1
17948,0,24,5,0,0,0,1238,30,32,32,2,30,1,1
17949,131,15831,251,0,1,5,667,30,76,76,6,30,1,1
17950,206,6,1,0,0,3,236,30,1782,1782,1608,29,0,1
17951,159,1201,36,0,3,0,9,30,2,2,0,0,1,1
17952,222,16,1,0,1,0,646,30,298,298,30,28,1,1
17953,0,186,17,0,0,0,1457,28,341,341,20,30,1,1
17954,0,27,5,0,3,0,985,30,12502,12502,65,30,1,1
17955,59,2,1,0,0,239,524,5,332,332,12,29,1,1
17956,30,70,8,0,0,0,1417,30,4532,4532,2064,30,1,1
17957,9,3,1,0,0,0,1091,30,59,59,6,30,1,1
17958,235,955,13,0,0,0,511,13,133,133,95,0,0,1
17959,176,44,2,0,9,2,63,-1,56,56,20,0,0,0
17960,39,124,1,0,0,0,54,-1,3,3,3,11,0,0
17961,74,2,1,0,1,0,1041,30,6552,6552,64,30,0,1
17962,21,424,4,0,2,1,566,23,19,19,86,23,1,1
